date,volatility_10,volatility_5,volatility_20
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,0.004916394686062091,
2020-01-07,,0.008426976428548212,
2020-01-08,,0.009568725900396794,
2020-01-09,,0.009645083056446044,
2020-01-10,,0.009568263805622191,
2020-01-11,0.006851428667451612,0.008785322472181525,
2020-01-12,0.006789013920718881,0.005042380198916543,
2020-01-13,0.006773027714656618,0.003290211179945117,
2020-01-14,0.00720031363271719,0.004806811646172797,
2020-01-15,0.00723874571365187,0.004577847745147803,
2020-01-16,0.006622636006905627,0.004406896942542792,
2020-01-17,0.006778869464286476,0.007038311247716603,
2020-01-18,0.00569422507564769,0.005330495582904801,
2020-01-19,0.0057688886046681955,0.006030681157129308,
2020-01-20,0.010798009333017602,0.015297920932669877,
2020-01-21,0.010932914684440177,0.015684102166475273,0.00893578295891454
2020-01-22,0.010935076681586976,0.0136123616762183,0.008885193306512636
2020-01-23,0.01113125293019639,0.012920376395590844,0.008982209507197686
2020-01-24,0.010958533368852375,0.012660114517177648,0.00903672133848649
2020-01-25,0.010838793620118005,0.005373722474660489,0.008991833504860536
2020-01-26,0.011231236594680971,0.006123234960646459,0.008991347470287289
2020-01-27,0.010170945711288017,0.006284216072367661,0.00849059650236235
2020-01-28,0.011391716114431823,0.0074635360846215795,0.008867302296040583
2020-01-29,0.011392388505464866,0.006039456519927651,0.008860447200518502
2020-01-30,0.0067270499507058835,0.007545096778322968,0.008836789053073335
2020-01-31,0.006742178938591424,0.007810130206495499,0.008849152370879257
2020-02-01,0.0068783990403257595,0.00815739875566797,0.008892305943765428
2020-02-02,0.0067502668643259975,0.0056361907441451475,0.009037192444585125
2020-02-03,0.007786803636542409,0.009819982340474612,0.009708876222037819
2020-02-04,0.007792107216217698,0.008864588193160947,0.009770562195701382
2020-02-05,0.008007757745414998,0.007670440111325778,0.00997242919711817
2020-02-06,0.00843469710830513,0.0075860412756953,0.009668099619498384
2020-02-07,0.00955260427795226,0.01280677338767993,0.010300599236619183
2020-02-08,0.009712964414970524,0.010297050155579687,0.0103458625889933
